height,weight,wingspan,points_scored,rebounds,assists,plusminus,fgpct,pheight,pweight,pwingspan,pos
192.83,90.59333333333332,210.82000000000002,0.3493449781659389,0.13100436681222707,0.04366812227074236,-4,0.333,190.5,97.7,210.18,SG
200.66,99.97,214.63,0.34253092286536047,0.45670789715381394,0.11417697428845348,-6,0.5,211.46,108.05,210.82,C
211.88,101.46999999999998,224.155,0.4834123222290605,0.1706161137279037,0.0,2,0.545,197.48,108.95,207.64,PF
193.99,93.25999999999999,207.32999999999998,0.6068965517241379,0.05517241379310345,0.16551724137931034,1,0.417,187.32,86.64,193.04,PG
193.99,93.25999999999999,207.32999999999998,0.6089552238078859,0.2149253731086656,0.14328358207244374,9,0.357,194.31,90.45,200.66,SG
193.99,93.25999999999999,207.32999999999998,0.3683035713874661,0.06696428570681202,0.03348214285340601,4,0.6,194.31,97.07,207.64,SG
191.98000000000002,91.38666666666666,200.44666666666663,0.5354330708661418,0.28346456692913385,0.2204724409448819,0,0.467,194.94,98.16,206.38,SG
197.48,108.95,207.64,0.6433166546614272,0.2144388848871424,0.08577555395485696,0,0.667,223.52,94.78,243.84,C
197.48,108.95,207.64,0.4384133612148657,0.1565762004338806,0.09394572026032837,-4,0.6,208.92,105.32,215.9,PF
197.48,108.95,207.64,0.4529616724738676,0.2787456445993031,0.17421602787456447,-10,0.333,203.2,104.31,212.725,PF
197.48,108.95,207.64,0.1532567049808429,0.38314176245210724,0.1532567049808429,-6,1.0,206.38,104.42,220.98,C
191.98000000000002,91.38666666666666,200.44666666666663,0.39436619718309857,0.11267605633802817,0.11267605633802817,-2,0.429,193.04,88.36,208.28,SG
201.08333333333334,105.02333333333335,211.88,0.9865470852017937,0.11958146487294469,0.059790732436472344,10,0.688,200.66,103.33,211.46,SF
209.34,108.13666666666667,214.42,0.505334082033165,0.269511510417688,0.033688938802211,12,0.385,203.0,97.51,210.82,PF
188.17333333333332,91.42999999999999,207.01333333333332,0.29702970292828434,0.2121640735202031,0.08486562940808125,6,0.333,198.76,88.0,201.93,SG
188.17333333333332,91.42999999999999,207.01333333333332,0.0,0.21686746993177528,0.2891566265757004,4,0.0,182.88,91.81,193.68,PG
209.34,108.13666666666667,214.42,0.5947955390334573,0.07434944237918216,0.07434944237918216,13,1.0,210.82,109.32,228.6,C
204.82666666666668,103.38666666666666,216.96,0.48491379315570193,0.3556034483141814,0.06465517242076026,-9,0.545,203.84,102.15,211.46,PF
206.91,103.41499999999999,219.70999999999998,0.3609022555848267,0.3609022555848267,0.0,-14,0.8,214.0,116.12,224.16,C
190.82,89.905,197.805,0.780911062991422,0.13015184383190367,0.1952277657478555,-4,0.5,191.14,84.5,203.2,PG
194.1,94.38,202.35666666666668,0.36697247706422015,0.04587155963302752,0.18348623853211007,-5,0.333,189.23,106.78,216.54,SG
204.82666666666668,103.38666666666666,216.96,0.3003003003003003,0.3603603603603604,0.24024024024024027,-5,0.667,210.18,106.14,207.64,PF
190.82,89.905,197.805,0.45075125201156074,0.15025041733718691,0.0,-10,0.222,184.15,83.01,201.3,PG
190.82,89.905,197.805,0.5084745763789141,0.06355932204736427,0.12711864409472853,-16,0.5,190.5,92.97,207.01,PG
194.1,94.38,202.35666666666668,0.2570694087403599,0.15424164524421594,0.0,-11,0.333,194.31,97.25,208.28,SG
194.1,94.38,202.35666666666668,0.42365401596181007,0.10591350399045252,0.10591350399045252,-9,0.6,193.04,87.98,213.36,SG
199.39000000000001,102.27333333333333,209.34,0.7251707828980378,0.2207041513167941,0.09458749342148319,-8,0.529,198.12,128.8,209.55,PF
197.48666666666668,97.58333333333333,205.74333333333334,0.3412073490813648,0.2099737532808399,0.07874015748031496,2,0.5,198.12,93.62,214.0,SF
189.65333333333334,93.64999999999999,201.9333333333333,0.6428571429145408,0.10714285715242346,0.1607142857286352,-1,0.5,188.6,89.36,198.76,PG
195.37,92.50333333333333,203.84,0.31774051197135755,0.2647837599761313,0.0,-2,0.5,198.12,88.54,209.55,SG
198.12,103.65333333333335,211.03333333333333,0.3075170842474354,0.13667425966552685,0.0,-8,0.571,203.84,85.46,208.92,SF
193.36,88.95,204.155,0.5295950155763239,0.0,0.09345794392523364,3,0.545,187.96,103.06,206.38,PG
198.12,111.21000000000001,211.775,0.32277346088736086,0.17931858938186715,0.07172743575274686,-3,0.571,194.31,118.3,212.09,PF
194.9466666666667,90.50666666666666,207.43666666666664,0.20454545449896694,0.13636363633264464,0.13636363633264464,-14,0.0,194.31,88.99,196.22,SG
198.12,111.21000000000001,211.775,0.1366742597122265,0.1366742597122265,0.06833712985611325,-11,0.333,200.02,103.06,207.01,PF
193.36,88.95,204.155,0.5031446540880503,0.12578616352201258,0.18867924528301885,-10,0.273,186.69,88.9,203.2,PG
194.31000000000003,88.22333333333334,201.72000000000003,0.24539877300613497,0.21472392638036808,0.06134969325153374,13,0.375,189.86,100.79,204.47,PG
194.31000000000003,88.22333333333334,201.72000000000003,0.5031446540880503,0.09433962264150943,0.15723270440251572,8,0.455,194.31,94.89,219.08,SG
208.27999999999997,122.105,227.015,0.4379562043214391,0.1592568015714324,0.1194426011785743,14,0.571,215.9,93.88,228.6,PF
194.31000000000003,88.22333333333334,201.72000000000003,0.8607126329606004,0.1388246182194517,0.2776492364389034,19,0.667,194.31,81.65,212.09,PG
202.885,106.82,215.265,0.631578947368421,0.14035087719298245,0.0,2,0.6,205.74,99.77,213.36,SF
194.31000000000003,88.22333333333334,201.72000000000003,0.6481481481481481,0.23148148148148145,0.09259259259259259,14,0.5,190.5,77.29,201.93,SG
194.31000000000003,88.22333333333334,201.72000000000003,0.6830122593140127,0.10507880912523271,0.052539404562616354,9,1.0,189.23,88.54,204.47,PG
192.82666666666668,92.44333333333334,211.88,0.6082108464884147,0.15205271162210368,0.06082108464884147,-29,0.45,196.85,95.8,205.74,SG
210.82,96.82499999999999,220.98000000000002,0.34428794992175277,0.28169014084507044,0.12519561815336464,-19,0.625,208.92,117.84,224.79,PF
192.82666666666668,92.44333333333334,211.88,0.6473364800205885,0.16183412000514713,0.12137559000386035,1,0.25,194.31,82.05,203.84,PG
192.82666666666668,92.44333333333334,211.88,0.4904632153123121,0.13079019074994988,0.13079019074994988,-8,0.286,191.77,86.82,195.58,PG
192.82666666666668,92.44333333333334,211.88,0.18828451886784195,0.06276150628928065,0.1255230125785613,-15,0.25,183.52,88.99,193.68,PG
215.9,93.88,228.6,0.37578288092363615,0.3131524007696968,0.06263048015393935,-1,0.75,207.64,126.37,229.24,C
195.79,92.29,200.44999999999996,0.14879107255409685,0.2603843769696695,0.11159330441557264,-14,0.143,197.48,98.97,213.36,SG
204.785,114.035,220.03,0.4044294655364054,0.4044294655364054,0.0577756379337722,7,0.545,201.3,110.22,225.42,C
204.785,114.035,220.03,0.5343111576181968,0.4400209533326327,0.1257202723807522,-4,0.727,208.28,113.38,226.06,C
194.31,87.27,191.14,0.8387698042088751,0.08387698042088751,0.25163094126266256,-2,0.481,198.0,99.77,213.995,PG
194.31,87.27,191.14,0.2334630350648761,0.11673151753243804,0.17509727629865707,-2,0.143,193.0,88.44,205.74,PG
195.79,92.29,200.44999999999996,0.280561122244489,0.20040080160320642,0.0,9,0.25,195.58,87.36,208.28,SG
196.53,93.16499999999999,210.82,0.5512572533315998,0.3771760154374104,0.11605415859612628,-3,0.333,198.12,100.79,201.93,SF
204.79000000000002,111.8,225.74,0.46875000005634015,0.3605769231202616,0.07211538462405233,5,0.444,202.56,115.67,211.46,PF
196.16,95.72666666666667,211.03166666666667,0.463768115942029,0.057971014492753624,0.08695652173913043,6,0.292,194.31,87.27,191.14,SG
196.53,93.16499999999999,210.82,0.10247651578096047,0.15371477367144068,0.051238257890480234,-5,0.143,194.94,88.81,208.28,SF
196.53,93.16499999999999,210.82,0.4551201012528749,0.15170670041762496,0.15170670041762496,4,1.0,198.12,102.69,207.01,SF
204.79000000000002,111.8,225.74,0.5047318611987381,0.37854889589905366,0.18927444794952683,5,0.4,207.01,112.4,228.6,PF
199.39,96.43,212.72,0.29732408328021054,0.1783944499681263,0.029732408328021053,3,0.455,210.82,97.51,223.52,PF
195.15666666666667,93.75333333333333,203.83666666666667,0.755597014995858,0.1399253731473811,0.16791044777685732,7,0.524,186.06,95.89,208.28,SG
195.15666666666667,93.75333333333333,203.83666666666667,0.4639175258210224,0.06185567010946965,0.15463917527367413,6,0.5,185.42,87.07,195.58,PG
