player_name,position,height,height_with_shoes,weight,wingspan,draft_year
Darren Kelly,SG/PG,187.96,190.5,80.74,200.02,2001
Jamison Brewer,PG,189.23,191.77,80.74,205.1,2001
Erick Green,PG,186.69,190.5,80.83,197.48,2013
Grant Riller,PG/SG,183.52,185.42,80.92,196.22,2020
Isaiah Wong,SG,189.23,191.77,80.92,200.02,2023
Devon Dotson,PG,182.88,187.96,81.01,191.14,2019
Chasson Randle,PG,183.52,186.69,81.1,200.66,2015
Anthony Roberson,PG,184.78,189.23,81.1,189.86,2005
Luther Head,PG/SG,187.96,190.5,81.1,196.22,2005
BJ Young,SG/PG,188.6,191.77,81.1,203.84,2013
Dee Brown,PG/SG,180.34,182.88,81.19,187.96,2005
Quinn Cook,PG,183.52,187.96,81.19,193.04,2015
Jerry Green,PG/SG,186.69,189.23,81.19,198.76,2001
Jordan Bone,SG,186.69,189.86,81.19,191.14,2019
Jaylen Hands,PG,186.69,189.86,81.19,196.85,2018
Smush Parker,PG/SG,189.23,191.77,81.19,208.28,2002
Tarence Kinsey,SF/SG,194.94,196.85,81.19,200.02,2006
Seth Curry,SG,185.42,190.5,81.28,193.04,2013
Ryan Rollins,SG,187.96,191.14,81.28,207.64,2022
Jeremy Lamb,SG,193.04,196.22,81.28,210.82,2012
AJ Lawson,SG/SF,196.85,200.02,81.28,200.02,2021
Emoni Bates,SF,203.84,206.38,81.28,205.74,2023
Jordan McRae,SG,192.4,196.22,81.37,214.63,2014
Marquis Teague,PG,185.42,187.96,81.56,201.3,2012
Bilal Coulibaly,SG/SF,203.2,205.7,88.44,218.44,2023
Shamorie Ponds,PG,181.61,184.15,81.65,191.77,2019
Scotty Pippen Jr.,PG,182.88,186.69,81.65,197.48,2022
Norman Richardson,SG,191.77,194.31,81.65,194.31,2001
Shai Gilgeous-Alexander,PG,194.31,198.12,81.65,212.09,2018
Jon Scheyer,PG/SG,194.94,198.12,81.65,191.14,2010
Myck Kabongo,PG,186.06,189.86,81.83,198.76,2013
Jaylen Hands,PG,186.69,190.5,81.83,196.85,2019
Avery Bradley,SG/PG,187.96,191.14,81.83,201.3,2010
Hugo Besson,SG,194.31,197.48,81.83,196.85,2022
Peyton Siva,PG,181.61,185.42,81.92,190.5,2013
Jason Preston,PG,190.5,193.04,81.92,204.47,2021
Marcus Zegarowski,PG,184.78,187.96,82.01,189.86,2021
Patrick McCaw,PG/SG,196.22,200.02,82.01,208.28,2016
Zach LaVine,PG,194.31,197.48,82.05,203.84,2014
Nate Robinson,PG,172.08,175.26,82.1,185.42,2004
Tim Bowers,PG/SG,184.15,187.32,82.1,205.74,2004
Marcus Taylor,PG,185.42,187.96,82.1,194.31,2002
George Hill,PG,186.06,189.23,82.1,205.74,2008
Jason Hart,PG,187.32,189.86,82.1,198.12,2000
Stephen Curry,PG/SG,187.96,191.14,82.1,191.77,2009
Brandon Heath,PG,187.96,192.4,82.1,200.66,2007
Ky Bowman,PG,185.42,188.6,82.19,200.66,2019
Bryce McGowens,SG,196.22,199.39,82.19,205.1,2022
Tyler Harvey,SG,189.86,193.04,82.28,196.85,2015
Delon Wright,PG,193.68,196.85,82.28,201.93,2015
Tyler Ennis,PG,185.42,189.23,82.33,201.3,2014
Jamar Butler,PG,183.52,186.69,82.55,194.94,2008
Sean Kennedy,PG,184.78,187.32,82.55,189.23,2002
Sean Dockery,PG/SG,184.78,187.96,82.55,194.31,2006
Kelvin Pena,SG/PG,188.6,191.14,82.55,199.39,2004
Malik Newman,SG,188.6,191.77,82.64,197.48,2016
Chris Boucher,PF,203.2,207.01,82.64,223.52,2017
Rodrigue Beaubois,PG,186.06,188.6,82.74,207.64,2009
Dereon Seabron,SG,194.94,197.48,82.74,205.1,2022
Tyler Dorsey,SG,190.5,194.31,82.83,196.22,2017
Cameron Payne,PG,184.78,186.69,82.92,201.3,2015
Collin Sexton,PG,184.15,186.69,83.01,201.3,2018
Jared Jordan,PG,182.88,187.32,83.01,182.88,2007
Greg Harrington,PG,185.42,187.96,83.01,192.4,2002
Zach Marbury,PG/SG,186.06,188.6,83.01,191.77,2001
Delonte West,PG/SG,186.69,189.86,83.01,198.12,2004
Taquan Dean,SG/PG,187.96,190.5,83.01,200.02,2006
Kendall Williams,PG,188.6,192.4,83.01,196.85,2014
Jobey Thomas,SG,189.86,192.4,83.01,197.48,2002
Alex Acker,SG,192.4,194.94,83.01,213.36,2005
Cory Hightower,SG/SF,196.85,199.39,83.01,210.82,2000
Keenan Evans,PG,186.69,190.5,83.1,196.22,2018
Iverson Molinar,PG,188.6,191.14,83.1,203.2,2022
Anfernee Simons,SG/PG,188.6,191.14,83.1,206.38,2018
Toney Douglas,PG,185.42,187.96,83.19,198.12,2009
Ronald Steele,PG,183.52,186.69,83.23,193.68,2008
Sean Singletary,PG,180.34,182.88,83.37,194.31,2008
Gary Payton II,PG,187.96,190.5,83.37,203.2,2016
Keydren Clark,PG,175.26,178.44,83.46,189.23,2006
Kemba Walker,PG,181.61,185.42,83.46,191.77,2011
Earl Watson,PG,182.88,185.42,83.46,200.02,2001
Julius Doc Robinson,PG,182.88,185.42,83.46,192.4,2000
Marlon Parmer,PG,184.78,187.32,83.46,191.77,2003
Ramel Bradley,PG/SG,186.06,188.6,83.46,195.58,2008
Igor Rakocevic,PG,189.23,191.77,83.46,196.22,2000
Markel Brown,SG,189.23,191.77,83.64,205.1,2014
Michael Carter-Williams,PG,194.94,197.48,83.64,201.3,2013
Terrance Ferguson,SG/SF,196.85,200.66,83.64,205.1,2017
Alex Scales,SG/PG,188.6,191.14,83.69,205.74,2000
Tyus Jones,PG,184.15,187.96,83.73,195.58,2015
Trey Alexander,SG,191.14,193.68,83.73,208.28,2023
Ronnie Price,PG,184.78,188.6,83.82,196.85,2005
Keon Johnson,SG,191.77,194.94,83.82,201.3,2021
Brandon Miller,SF,200.66,203.2,91.16,212.09,2023
Ramon Sessions,PG,187.96,192.4,83.91,193.68,2007
Tony Bobbitt,SG,189.86,193.04,83.91,200.66,2004
Mustafa Shakur,PG,190.5,194.31,83.91,196.85,2007
Renaldas Seibutis,SG,193.04,197.48,83.91,205.1,2007
R.J. Hunter,SG,194.31,198.12,83.91,209.55,2015
Jamario Moon,SF,199.39,201.93,83.91,212.09,2001
Corey Brewer,SF/SG,198.12,202.56,83.91,203.84,2007
Manny Harris,SG,193.04,196.85,83.96,201.3,2010
Jawun Evans,PG,179.7,181.61,84.01,196.85,2017
Jack McClinton,SG/PG,182.24,184.78,84.01,189.23,2009
Devon Dotson,PG,184.15,187.2,84.01,190.5,2020
Jalen Lecque,PG,189.23,193.68,84.01,204.47,2019
Jayden Scrubb,SG/SF,195.58,198.63,84.01,207.01,2020
Elfrid Payton,PG,189.23,192.4,84.1,203.2,2014
Immanuel Quickley,SG,187.96,190.5,84.28,203.84,2020
Olivier Hanlan,PG/SG,191.14,193.68,84.28,198.12,2015
Isaiah Thomas,PG,174.62,178.44,84.37,187.32,2011
Semaj Christon,PG,186.69,191.14,84.37,199.39,2014
Acie Law,PG,187.96,191.77,84.37,199.39,2007
Kirk Hinrich,PG/SG,189.86,192.4,84.37,198.12,2003
Jordan Hawkins,SG,193.68,196.22,84.37,200.02,2023
Shaun Livingston,PG/SG,198.76,201.93,84.37,210.82,2004
Cory Joseph,PG,187.96,191.14,84.46,196.85,2011
John Petty Jr.,SG,194.31,197.48,84.46,207.01,2021
Jordan Clarkson,PG,191.14,195.58,84.5,203.2,2014
Devonte Graham,PG,183.52,186.69,84.55,198.76,2018
