500,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1,22300024,1610612746,LAC,LA,202695,Kawhi Leonard,Kawhi,37.88333333,5,14,0.357,2,3,0.667,3,4,0.75,0,2,2,2,5,0,3,1,15,0
2,22300024,1610612746,LAC,LA,1627826,Ivica Zubac,Ivica,26.4,2,8,0.25,0,0,0,5,6,0.833,7,6,13,3,0,1,0,4,9,-3
3,22300024,1610612746,LAC,LA,201935,James Harden,James,35.46666667,7,15,0.467,3,8,0.375,4,4,1,0,2,2,4,0,0,1,3,21,-3
4,22300024,1610612746,LAC,LA,201566,Russell Westbrook,Russell,24.41666667,4,12,0.333,0,1,0,0,0,0,1,5,6,3,2,0,3,3,8,1
5,22300024,1610612746,LAC,LA,1626181,Norman Powell,Norman,25.96666667,4,7,0.571,2,3,0.667,4,5,0.8,0,1,1,1,0,0,0,5,14,5
6,22300024,1610612746,LAC,LA,1629611,Terance Mann,Terance,28.21666667,0,1,0,0,0,0,0,0,0,4,2,6,5,0,0,1,3,0,-3
7,22300024,1610612746,LAC,LA,200782,P.J. Tucker,P.J.,21.36666667,2,3,0.667,2,3,0.667,0,0,0,2,3,5,0,0,0,1,1,6,-7
12,22300024,1610612743,DEN,Denver,1629008,Michael Porter Jr.,Michael,34.43333333,4,11,0.364,2,8,0.25,0,2,0,1,4,5,0,1,1,2,3,10,4
13,22300024,1610612743,DEN,Denver,203932,Aaron Gordon,Aaron,39.4,8,12,0.667,1,2,0.5,3,3,1,1,4,5,5,0,0,3,1,20,2
14,22300024,1610612743,DEN,Denver,203999,Nikola Jokic,Nikola,35.75,8,23,0.348,2,7,0.286,14,14,1,3,13,16,9,1,0,4,2,32,3
15,22300024,1610612743,DEN,Denver,203484,Kentavious Caldwell-Pope,Kentavious,38.98333333,2,3,0.667,2,3,0.667,3,5,0.6,0,1,1,4,1,0,1,3,9,3
16,22300024,1610612743,DEN,Denver,202704,Reggie Jackson,Reggie,29.56666667,7,11,0.636,0,1,0,4,6,0.667,0,3,3,4,0,1,2,3,18,9
17,22300024,1610612743,DEN,Denver,1629618,Jalen Pickett,Jalen,16.8,2,3,0.667,1,2,0.5,0,0,0,0,2,2,2,1,0,2,2,5,-4
18,22300024,1610612743,DEN,Denver,1631212,Peyton Watson,Peyton,11.05,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
19,22300024,1610612743,DEN,Denver,1631128,Christian Braun,Christian,19.98333333,5,6,0.833,0,0,0,0,0,0,0,1,1,1,0,0,0,3,10,-3
20,22300024,1610612743,DEN,Denver,1630192,Zeke Nnaji,Zeke,12.25,1,2,0.5,0,0,0,1,2,0.5,1,2,3,0,0,0,0,1,3,0
21,22300024,1610612743,DEN,Denver,203200,Justin Holiday,Justin,1.783333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
0,22300025,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,1.716666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,22300025,1610612750,MIN,Minnesota,1626157,Karl-Anthony Towns,Karl-Anthony,41.68333333,12,26,0.462,5,12,0.417,4,4,1,1,10,11,2,2,0,5,1,33,8
2,22300025,1610612750,MIN,Minnesota,203497,Rudy Gobert,Rudy,35.21666667,2,8,0.25,0,0,0,5,6,0.833,6,7,13,2,0,3,2,4,9,8
3,22300025,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,36.3,7,16,0.438,3,6,0.5,3,5,0.6,0,4,4,4,3,0,5,1,20,-9
4,22300025,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,30.83333333,4,6,0.667,3,4,0.75,2,2,1,0,2,2,8,2,0,1,1,13,12
5,22300025,1610612750,MIN,Minnesota,1629638,Nickeil Alexander-Walker,Nickeil,25.33333333,2,5,0.4,1,4,0.25,0,0,0,0,0,0,1,1,1,2,1,5,-16
6,22300025,1610612750,MIN,Minnesota,203937,Kyle Anderson,Kyle,27.38333333,3,9,0.333,0,2,0,2,2,1,1,3,4,3,0,1,2,4,8,11
7,22300025,1610612750,MIN,Minnesota,1629675,Naz Reid,Naz,16.4,4,5,0.8,2,3,0.667,0,0,0,0,2,2,0,0,0,1,4,10,-8
8,22300025,1610612750,MIN,Minnesota,1629003,Shake Milton,Shake,15.41666667,2,4,0.5,0,1,0,2,2,1,0,4,4,3,0,0,1,3,6,8
9,22300025,1610612750,MIN,Minnesota,1628972,Troy Brown Jr.,Troy,9.716666667,0,1,0,0,1,0,0,0,0,1,1,2,1,1,0,0,0,0,-1
12,22300025,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,27.61666667,4,15,0.267,1,7,0.143,0,0,0,2,5,7,0,3,1,4,5,9,2
13,22300025,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,1.716666667,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,-2
14,22300025,1610612744,GSW,Golden State,203967,Dario Saric,Dario,32.2,6,15,0.4,3,11,0.273,6,6,1,1,3,4,4,2,0,2,4,21,-5
15,22300025,1610612744,GSW,Golden State,202691,Klay Thompson,Klay,1.716666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
16,22300025,1610612744,GSW,Golden State,101108,Chris Paul,Chris,36,6,14,0.429,2,3,0.667,1,1,1,0,5,5,4,3,1,4,0,15,-9
17,22300025,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,31.55,1,4,0.25,0,0,0,0,0,0,6,6,12,3,1,0,0,2,2,2
18,22300025,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,38.95,9,18,0.5,3,8,0.375,2,2,1,1,6,7,5,1,0,3,4,23,11
19,22300025,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,15.96666667,2,3,0.667,0,1,0,1,2,0.5,1,1,2,1,0,0,1,2,5,-1
20,22300025,1610612744,GSW,Golden State,202709,Cory Joseph,Cory,13.23333333,2,6,0.333,2,3,0.667,0,1,0,0,0,0,4,0,0,2,1,6,6
21,22300025,1610612744,GSW,Golden State,1627780,Gary Payton II,Gary,15.66666667,3,5,0.6,1,3,0.333,0,0,0,1,2,3,2,0,0,0,1,7,-3
22,22300025,1610612744,GSW,Golden State,1631218,Trayce Jackson-Davis,Trayce,11.66666667,0,1,0,0,0,0,2,2,1,0,2,2,3,0,0,2,2,2,-2
23,22300025,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,13.71666667,4,6,0.667,1,2,0.5,2,2,1,1,1,2,2,1,0,0,0,11,-12
0,22300026,1610612763,MEM,Memphis,1630217,Desmond Bane,Desmond,27.38333333,5,10,0.5,2,6,0.333,3,3,1,0,1,1,5,0,0,2,1,15,-24
1,22300026,1610612763,MEM,Memphis,1628991,Jaren Jackson Jr.,Jaren,22.1,3,16,0.188,2,6,0.333,0,0,0,2,0,2,2,0,1,1,2,8,-16
2,22300026,1610612763,MEM,Memphis,202687,Bismack Biyombo,Bismack,23.2,0,5,0,0,0,0,0,0,0,6,2,8,4,0,2,0,3,0,-21
3,22300026,1610612763,MEM,Memphis,203935,Marcus Smart,Marcus,8.416666667,1,3,0.333,1,2,0.5,0,0,0,0,1,1,1,1,1,0,0,3,-7
4,22300026,1610612763,MEM,Memphis,1631367,Jacob Gilyard,Jacob,20.8,3,5,0.6,3,5,0.6,0,0,0,1,2,3,1,2,0,1,2,9,-13
5,22300026,1610612763,MEM,Memphis,1630583,Santi Aldama,Santi,25.13333333,9,15,0.6,3,8,0.375,3,5,0.6,0,5,5,4,0,2,3,0,24,-12
6,22300026,1610612763,MEM,Memphis,1628379,Luke Kennard,Luke,5.75,0,5,0,0,3,0,0,0,0,1,2,3,0,0,0,0,0,0,-6
7,22300026,1610612763,MEM,Memphis,1630533,Ziaire Williams,Ziaire,25.71666667,4,16,0.25,2,7,0.286,0,0,0,0,1,1,0,1,1,1,3,10,-15
8,22300026,1610612763,MEM,Memphis,1631223,David Roddy,David,31.08333333,6,17,0.353,2,8,0.25,3,4,0.75,1,2,3,3,2,2,0,2,17,-7
9,22300026,1610612763,MEM,Memphis,1630214,Xavier Tillman,Xavier,22.25,6,7,0.857,3,3,1,0,0,0,1,1,2,2,1,0,1,1,15,-4
10,22300026,1610612763,MEM,Memphis,1629723,John Konchar,John,18.13333333,2,4,0.5,2,3,0.667,0,0,0,1,2,3,6,1,0,0,1,6,0
11,22300026,1610612763,MEM,Memphis,1631246,Vince Williams Jr.,Vince,5.016666667,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-5
12,22300026,1610612763,MEM,Memphis,1631254,Kenneth Lofton Jr.,Kenneth,5.016666667,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
13,22300026,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,24.75,3,7,0.429,3,5,0.6,1,2,0.5,0,1,1,2,0,0,0,2,10,16
14,22300026,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,22.65,6,11,0.545,3,6,0.5,1,2,0.5,0,9,9,6,1,0,4,1,16,15
15,22300026,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,26.83333333,7,11,0.636,0,0,0,5,6,0.833,4,7,11,5,0,6,2,1,19,21
16,22300026,1610612747,LAL,Los Angeles,1627752,Taurean Prince,Taurean,29.46666667,3,6,0.5,2,5,0.4,0,0,0,0,3,3,1,1,0,0,3,8,9
17,22300026,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,26.58333333,8,12,0.667,6,8,0.75,2,3,0.667,0,3,3,5,0,0,0,0,24,25
18,22300026,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,29.18333333,5,9,0.556,4,4,1,2,3,0.667,2,10,12,7,0,0,3,0,16,13
19,22300026,1610612747,LAL,Los Angeles,1629060,Rui Hachimura,Rui,23.83333333,8,10,0.8,3,3,1,4,4,1,0,3,3,0,0,0,5,2,23,6
20,22300026,1610612747,LAL,Los Angeles,1626174,Christian Wood,Christian,21.96666667,1,8,0.125,0,3,0,0,0,0,3,7,10,2,0,1,3,2,2,9
21,22300026,1610612747,LAL,Los Angeles,1629637,Jaxson Hayes,Jaxson,21.16666667,4,4,1,0,0,0,3,4,0.75,1,0,1,1,1,3,0,2,11,6
22,22300026,1610612747,LAL,Los Angeles,1631108,Max Christie,Max,8.55,2,2,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,5,10
23,22300026,1610612747,LAL,Los Angeles,1641721,Maxwell Lewis,Maxwell,5.016666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,22300199,1610612739,CLE,Cleveland,1629731,Dean Wade,Dean,32.68333333,0,3,0,0,3,0,0,0,0,1,2,3,2,0,1,0,1,0,6
1,22300199,1610612739,CLE,Cleveland,1630596,Evan Mobley,Evan,35.36666667,8,11,0.727,0,1,0,5,8,0.625,3,9,12,3,1,3,1,1,21,26
2,22300199,1610612739,CLE,Cleveland,1628386,Jarrett Allen,Jarrett,29.13333333,3,3,1,0,0,0,5,6,0.833,1,8,9,1,0,3,3,3,11,0
3,22300199,1610612739,CLE,Cleveland,1629622,Max Strus,Max,36.7,5,12,0.417,1,7,0.143,3,3,1,1,2,3,7,1,0,5,3,14,25
4,22300199,1610612739,CLE,Cleveland,1628378,Donovan Mitchell,Donovan,36.33333333,13,20,0.65,5,8,0.625,3,4,0.75,0,6,6,4,1,0,3,4,34,22
5,22300199,1610612739,CLE,Cleveland,1627747,Caris LeVert,Caris,33.03333333,8,17,0.471,1,7,0.143,0,0,0,1,7,8,6,2,1,1,2,17,7
6,22300199,1610612739,CLE,Cleveland,1627777,Georges Niang,Georges,21.63333333,3,6,0.5,2,4,0.5,0,0,0,0,2,2,0,0,1,2,1,8,-8
7,22300199,1610612739,CLE,Cleveland,1641854,Craig Porter Jr.,Craig,9.116666667,2,3,0.667,0,0,0,0,0,0,0,2,2,0,0,0,2,1,4,-8
8,22300199,1610612739,CLE,Cleveland,1641734,Emoni Bates,Emoni,1.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9,22300199,1610612739,CLE,Cleveland,202684,Tristan Thompson,Tristan,1.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,22300199,1610612739,CLE,Cleveland,1630241,Sam Merrill,Sam,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22300199,1610612739,CLE,Cleveland,1627745,Damian Jones,Damian,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22300199,1610612757,POR,Portland,203924,Jerami Grant,Jerami,32.46666667,7,17,0.412,1,6,0.167,2,2,1,0,3,3,2,2,0,3,2,17,4
13,22300199,1610612757,POR,Portland,1641739,Toumani Camara,Toumani,21.68333333,0,4,0,0,3,0,0,0,0,0,1,1,3,2,0,1,1,0,-12
14,22300199,1610612757,POR,Portland,1629028,Deandre Ayton,Deandre,25.8,3,10,0.3,0,0,0,0,0,0,2,4,6,0,0,0,2,3,6,-14
15,22300199,1610612757,POR,Portland,1631101,Shaedon Sharpe,Shaedon,26.7,2,12,0.167,1,5,0.2,6,7,0.857,3,4,7,5,0,0,0,3,11,-27
16,22300199,1610612757,POR,Portland,1630219,Skylar Mays,Skylar,30.85,4,13,0.308,2,4,0.5,3,3,1,0,1,1,4,1,0,2,4,13,-13
17,22300199,1610612757,POR,Portland,1631123,Jamaree Bouyea,Jamaree,9.333333333,1,6,0.167,0,3,0,0,0,0,0,2,2,0,0,0,0,1,2,1
18,22300199,1610612757,POR,Portland,1631133,Jabari Walker,Jabari,22.85,4,7,0.571,3,4,0.75,1,2,0.5,1,2,3,1,0,2,2,2,12,-12
19,22300199,1610612757,POR,Portland,1629680,Matisse Thybulle,Matisse,25.71666667,5,6,0.833,3,4,0.75,0,0,0,0,3,3,3,3,1,0,1,13,-4
20,22300199,1610612757,POR,Portland,1641871,Duop Reath,Duop,19.66666667,6,10,0.6,2,5,0.4,2,2,1,2,0,2,3,0,0,1,2,16,0
21,22300199,1610612757,POR,Portland,1631200,Kris Murray,Kris,17.33333333,2,5,0.4,1,3,0.333,0,0,0,0,2,2,3,1,0,0,1,5,7
22,22300199,1610612757,POR,Portland,1641712,Rayan Rupert,Rayan,2.533333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23,22300199,1610612757,POR,Portland,1631303,Justin Minaya,Justin,2.533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,22300199,1610612757,POR,Portland,1630688,Ish Wainright,Ish,2.533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22300198,1610612758,SAC,Sacramento,203084,Harrison Barnes,Harrison,38.73333333,5,10,0.5,3,6,0.5,0,0,0,0,1,1,2,4,0,2,3,13,16
1,22300198,1610612758,SAC,Sacramento,1631099,Keegan Murray,Keegan,30.78333333,3,9,0.333,2,7,0.286,1,2,0.5,0,6,6,2,2,0,1,2,9,13
2,22300198,1610612758,SAC,Sacramento,1627734,Domantas Sabonis,Domantas,38.8,13,19,0.684,1,1,1,2,2,1,5,11,16,7,3,1,4,3,29,20
3,22300198,1610612758,SAC,Sacramento,1628989,Kevin Huerter,Kevin,37.58333333,10,16,0.625,6,11,0.545,2,2,1,0,4,4,7,2,0,0,2,28,21
4,22300198,1610612758,SAC,Sacramento,1628368,De'Aaron Fox,De'Aaron,38.31666667,10,22,0.455,3,9,0.333,5,7,0.714,3,2,5,5,4,0,3,3,28,15
5,22300198,1610612758,SAC,Sacramento,1631165,Keon Ellis,Keon,9,0,3,0,0,2,0,0,0,0,1,1,2,1,0,0,0,2,0,6
6,22300198,1610612758,SAC,Sacramento,1628370,Malik Monk,Malik,20.51666667,1,8,0.125,1,5,0.2,0,0,0,0,5,5,5,1,0,3,1,3,-6
7,22300198,1610612758,SAC,Sacramento,1628426,Sasha Vezenkov,Sasha,12.38333333,1,4,0.25,0,3,0,2,2,1,0,0,0,0,2,0,0,0,4,-6
8,22300198,1610612758,SAC,Sacramento,201580,JaVale McGee,JaVale,8.816666667,3,3,1,0,0,0,1,2,0.5,2,4,6,1,2,0,2,3,7,-7
9,22300198,1610612758,SAC,Sacramento,1630537,Chris Duarte,Chris,4.483333333,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3
10,22300198,1610612758,SAC,Sacramento,1630196,Filip Petrusev,Filip,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22300198,1610612758,SAC,Sacramento,1641771,Jalen Slawson,Jalen,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22300198,1610612758,SAC,Sacramento,1630556,Kessler Edwards,Kessler,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,22300198,1610612747,LAL,Los Angeles,1629629,Cam Reddish,Cam,32.23333333,7,14,0.5,2,5,0.4,0,0,0,0,2,2,0,5,0,1,1,16,0
15,22300198,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,35.3,9,15,0.6,3,7,0.429,7,8,0.875,2,8,10,12,4,1,6,1,28,0
16,22300198,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,34.73333333,3,9,0.333,0,1,0,3,3,1,0,9,9,0,0,4,5,4,9,-13
17,22300198,1610612747,LAL,Los Angeles,1627752,Taurean Prince,Taurean,25.46666667,3,7,0.429,1,4,0.25,0,0,0,0,2,2,0,1,0,0,2,7,-24
18,22300198,1610612747,LAL,Los Angeles,1626156,D'Angelo Russell,D'Angelo,34.73333333,12,20,0.6,4,6,0.667,0,0,0,3,2,5,5,0,1,2,3,28,-13
19,22300198,1610612747,LAL,Los Angeles,1630559,Austin Reaves,Austin,33.66666667,4,10,0.4,0,5,0,1,2,0.5,2,9,11,8,1,0,4,1,9,0
20,22300198,1610612747,LAL,Los Angeles,1626174,Christian Wood,Christian,8.5,2,2,1,0,0,0,1,2,0.5,0,2,2,0,0,0,1,1,5,-6
21,22300198,1610612747,LAL,Los Angeles,1629060,Rui Hachimura,Rui,17.8,2,5,0.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,-5
22,22300198,1610612747,LAL,Los Angeles,1629637,Jaxson Hayes,Jaxson,13.26666667,0,0,0,0,0,0,3,4,0.75,0,1,1,0,1,0,2,4,3,-2
23,22300198,1610612747,LAL,Los Angeles,1631108,Max Christie,Max,1.433333333,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-4
24,22300198,1610612747,LAL,Los Angeles,1641793,D'Moi Hodge,D'Moi,1.433333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
25,22300198,1610612747,LAL,Los Angeles,1641721,Maxwell Lewis,Maxwell,1.433333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
0,22300197,1610612750,MIN,Minnesota,1630183,Jaden McDaniels,Jaden,22.56666667,6,10,0.6,0,3,0,1,1,1,1,1,2,3,2,0,1,4,13,-5
1,22300197,1610612750,MIN,Minnesota,1626157,Karl-Anthony Towns,Karl-Anthony,31.11666667,10,17,0.588,0,4,0,5,5,1,1,6,7,2,0,0,1,3,25,-14
2,22300197,1610612750,MIN,Minnesota,203497,Rudy Gobert,Rudy,24.86666667,2,5,0.4,0,0,0,0,0,0,4,4,8,2,1,2,2,2,4,-25
3,22300197,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,30.51666667,4,16,0.25,1,3,0.333,4,4,1,1,3,4,4,1,1,1,0,13,-29
4,22300197,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,22.38333333,5,8,0.625,1,3,0.333,3,3,1,1,1,2,3,0,0,0,0,14,-16
5,22300197,1610612750,MIN,Minnesota,1629675,Naz Reid,Naz,18.8,4,7,0.571,1,2,0.5,4,4,1,2,2,4,0,1,0,0,0,13,-5
6,22300197,1610612750,MIN,Minnesota,1629638,Nickeil Alexander-Walker,Nickeil,22.68333333,3,6,0.5,2,5,0.4,0,0,0,0,0,0,0,0,1,0,1,8,-5
7,22300197,1610612750,MIN,Minnesota,1629003,Shake Milton,Shake,22.73333333,4,8,0.5,0,2,0,0,0,0,1,3,4,0,0,0,0,3,8,6
8,22300197,1610612750,MIN,Minnesota,203937,Kyle Anderson,Kyle,21.45,2,5,0.4,0,0,0,2,2,1,1,1,2,3,2,1,1,0,6,-13
9,22300197,1610612750,MIN,Minnesota,1628972,Troy Brown Jr.,Troy,13.81666667,0,3,0,0,2,0,4,4,1,1,3,4,1,1,0,0,1,4,6
10,22300197,1610612750,MIN,Minnesota,1631169,Josh Minott,Josh,4.533333333,1,3,0.333,0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,5
11,22300197,1610612750,MIN,Minnesota,1630568,Luka Garza,Luka,4.533333333,1,4,0.25,0,1,0,3,4,0.75,2,0,2,0,0,0,0,0,5,5
12,22300197,1610612756,PHX,Phoenix,201569,Eric Gordon,Eric,29.06666667,6,9,0.667,3,6,0.5,0,0,0,0,1,1,3,0,0,1,2,15,19
13,22300197,1610612756,PHX,Phoenix,201142,Kevin Durant,Kevin,35.36666667,11,15,0.733,2,2,1,7,7,1,0,6,6,6,0,1,2,3,31,27
14,22300197,1610612756,PHX,Phoenix,203994,Jusuf Nurkic,Jusuf,24.03333333,1,3,0.333,1,1,1,0,0,0,1,4,5,4,0,0,0,3,3,10
15,22300197,1610612756,PHX,Phoenix,1628960,Grayson Allen,Grayson,27.86666667,5,9,0.556,3,5,0.6,1,1,1,0,3,3,2,0,1,2,1,14,22
16,22300197,1610612756,PHX,Phoenix,1626164,Devin Booker,Devin,25.83333333,12,22,0.545,2,7,0.286,5,5,1,1,3,4,5,0,0,2,2,31,0
17,22300197,1610612756,PHX,Phoenix,1629006,Josh Okogie,Josh,18.71666667,4,5,0.8,3,3,1,1,2,0.5,0,0,0,1,0,0,0,1,12,11
18,22300197,1610612756,PHX,Phoenix,1629234,Drew Eubanks,Drew,20.43333333,6,9,0.667,1,1,1,0,0,0,2,2,4,3,0,0,1,2,13,11
19,22300197,1610612756,PHX,Phoenix,1629139,Yuta Watanabe,Yuta,22.68333333,1,6,0.167,1,4,0.25,0,0,0,0,2,2,3,0,1,0,1,3,-1
20,22300197,1610612756,PHX,Phoenix,1628966,Keita Bates-Diop,Keita,12.63333333,1,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,1,2,-9
21,22300197,1610612756,PHX,Phoenix,1630692,Jordan Goodwin,Jordan,16.3,1,1,1,1,1,1,0,0,0,0,3,3,3,1,1,0,2,3,6
22,22300197,1610612756,PHX,Phoenix,1629002,Chimezie Metu,Chimezie,3.533333333,2,4,0.5,0,1,0,0,0,0,0,2,2,0,0,0,1,2,4,-3
23,22300197,1610612756,PHX,Phoenix,1629642,Nassir Little,Nassir,3.533333333,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-3
0,22300194,1610612738,BOS,Boston,1630573,Sam Hauser,Sam,35.23333333,3,9,0.333,2,8,0.25,0,0,0,1,1,2,2,0,1,0,2,8,4
1,22300194,1610612738,BOS,Boston,1628369,Jayson Tatum,Jayson,38.5,10,23,0.435,4,10,0.4,5,6,0.833,2,6,8,6,2,0,3,1,29,2
2,22300194,1610612738,BOS,Boston,201143,Al Horford,Al,28.81666667,5,9,0.556,4,8,0.5,0,0,0,1,7,8,3,0,5,0,2,14,14
3,22300194,1610612738,BOS,Boston,1628401,Derrick White,Derrick,35.96666667,7,12,0.583,4,8,0.5,9,10,0.9,0,3,3,5,1,0,2,3,27,3
4,22300194,1610612738,BOS,Boston,201950,Jrue Holiday,Jrue,35.48333333,8,18,0.444,2,9,0.222,0,1,0,2,8,10,3,1,2,1,0,18,16
5,22300194,1610612738,BOS,Boston,1630625,Dalano Banton,Dalano,8.283333333,1,4,0.25,0,1,0,0,0,0,1,4,5,0,1,0,0,2,2,8
6,22300194,1610612738,BOS,Boston,1630202,Payton Pritchard,Payton,23.25,2,5,0.4,1,3,0.333,0,0,0,1,1,2,3,0,0,0,0,5,7
7,22300194,1610612738,BOS,Boston,1629004,Svi Mykhailiuk,Svi,15.33333333,2,4,0.5,1,3,0.333,0,0,0,1,0,1,0,1,0,1,3,5,0
8,22300194,1610612738,BOS,Boston,1628436,Luke Kornet,Luke,19.13333333,4,4,1,0,0,0,1,2,0.5,3,3,6,1,1,0,2,2,9,-4
12,22300194,1610612755,PHI,Philadelphia,203496,Robert Covington,Robert,37.2,6,13,0.462,0,5,0,4,4,1,3,3,6,0,2,0,0,1,16,-10
13,22300194,1610612755,PHI,Philadelphia,202699,Tobias Harris,Tobias,37.66666667,6,12,0.5,1,2,0.5,3,3,1,0,7,7,3,0,0,1,0,16,-1
14,22300194,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,33.91666667,8,16,0.5,0,2,0,4,4,1,3,6,9,7,1,0,2,3,20,-25
15,22300194,1610612755,PHI,Philadelphia,1629001,De'Anthony Melton,De'Anthony,34.01666667,5,10,0.5,5,6,0.833,1,2,0.5,1,6,7,1,0,0,0,3,16,-9
16,22300194,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,39.11666667,6,15,0.4,3,7,0.429,5,5,1,0,3,3,4,0,0,2,3,20,9
17,22300194,1610612755,PHI,Philadelphia,202694,Marcus Morris Sr.,Marcus,8.283333333,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-16
18,22300194,1610612755,PHI,Philadelphia,201976,Patrick Beverley,Patrick,9.733333333,0,4,0,0,2,0,0,2,0,0,1,1,1,0,0,0,1,0,-17
19,22300194,1610612755,PHI,Philadelphia,1627788,Furkan Korkmaz,Furkan,2.883333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
20,22300194,1610612755,PHI,Philadelphia,1627863,Danuel House Jr.,Danuel,2.933333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
21,22300194,1610612755,PHI,Philadelphia,1630194,Paul Reed,Paul,14.08333333,4,5,0.8,1,1,1,1,2,0.5,3,3,6,2,0,1,1,1,10,15
22,22300194,1610612755,PHI,Philadelphia,1630531,Jaden Springer,Jaden,20.16666667,4,5,0.8,1,1,1,0,0,0,0,2,2,0,2,0,2,2,9,20
0,22300195,1610612749,MIL,Milwaukee,203114,Khris Middleton,Khris,20.31666667,5,9,0.556,1,2,0.5,0,0,0,1,4,5,4,2,0,4,3,11,12
1,22300195,1610612749,MIL,Milwaukee,1641748,Andre Jackson Jr.,Andre,16.51666667,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,2,2,0,9
2,22300195,1610612749,MIL,Milwaukee,201572,Brook Lopez,Brook,33.1,4,10,0.4,1,3,0.333,1,1,1,2,6,8,4,1,7,0,2,10,26
3,22300195,1610612749,MIL,Milwaukee,1627736,Malik Beasley,Malik,31.06666667,11,14,0.786,8,11,0.727,0,0,0,0,4,4,0,1,0,0,2,30,34
4,22300195,1610612749,MIL,Milwaukee,203081,Damian Lillard,Damian,30.7,9,18,0.5,4,10,0.4,15,16,0.938,0,4,4,13,2,0,4,1,37,25
5,22300195,1610612749,MIL,Milwaukee,1626171,Bobby Portis,Bobby,30.7,7,11,0.636,2,3,0.667,2,2,1,1,6,7,0,0,2,0,5,18,15
6,22300195,1610612749,MIL,Milwaukee,1626192,Pat Connaughton,Pat,22.46666667,1,3,0.333,1,3,0.333,0,0,0,1,6,7,0,0,0,1,2,3,10
