500,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
6,22300064,1610612764,WAS,Washington,1630557,Corey Kispert,Corey,24.45,4,11,0.364,1,5,0.2,2,2,1,2,3,5,1,0,0,1,1,11,-8
7,22300064,1610612764,WAS,Washington,201568,Danilo Gallinari,Danilo,17.16666667,4,7,0.571,2,2,1,6,6,1,2,1,3,0,0,0,0,1,16,5
8,22300064,1610612764,WAS,Washington,1641731,Bilal Coulibaly,Bilal,23.13333333,1,3,0.333,1,1,1,0,0,0,0,4,4,3,0,3,3,1,3,-13
9,22300064,1610612764,WAS,Washington,203488,Mike Muscala,Mike,8.166666667,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,-8
10,22300064,1610612764,WAS,Washington,1630647,Eugene Omoruyi,Eugene,7.766666667,2,3,0.667,0,0,0,0,0,0,1,1,2,1,0,0,1,0,4,-2
11,22300064,1610612764,WAS,Washington,1631157,Ryan Rollins,Ryan,6,0,3,0,0,0,0,1,2,0.5,0,3,3,1,0,0,1,0,1,-1
12,22300064,1610612764,WAS,Washington,1631116,Patrick Baldwin Jr.,Patrick,3.383333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,22300064,1610612764,WAS,Washington,1630215,Jared Butler,Jared,3.383333333,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2
15,22300064,1610612754,IND,Indiana,1631097,Bennedict Mathurin,Bennedict,25.83333333,6,15,0.4,2,6,0.333,4,4,1,0,4,4,5,2,0,2,1,18,14
16,22300064,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,19.23333333,4,9,0.444,2,5,0.4,1,1,1,1,3,4,1,1,0,0,0,11,7
17,22300064,1610612754,IND,Indiana,1626167,Myles Turner,Myles,23.33333333,5,8,0.625,0,2,0,1,2,0.5,0,8,8,1,0,3,2,4,11,14
18,22300064,1610612754,IND,Indiana,1628971,Bruce Brown,Bruce,27.2,8,11,0.727,6,8,0.75,2,2,1,1,2,3,1,1,0,1,3,24,15
19,22300064,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,26.9,9,16,0.563,2,6,0.333,0,0,0,0,3,3,11,1,2,3,1,20,6
20,22300064,1610612754,IND,Indiana,1630188,Jalen Smith,Jalen,13.41666667,5,6,0.833,2,2,1,1,1,1,3,5,8,0,1,0,0,4,13,6
21,22300064,1610612754,IND,Indiana,1627741,Buddy Hield,Buddy,25.1,5,9,0.556,4,7,0.571,0,0,0,0,2,2,5,1,1,1,0,14,15
22,22300064,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,21.6,6,9,0.667,0,1,0,0,0,0,1,3,4,10,0,0,2,4,12,12
23,22300064,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,23.08333333,2,5,0.4,1,3,0.333,2,2,1,1,4,5,1,0,1,1,3,7,13
24,22300064,1610612754,IND,Indiana,1630543,Isaiah Jackson,Isaiah,11.25,2,4,0.5,0,0,0,0,0,0,1,3,4,0,0,0,0,2,4,3
25,22300064,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,6,2,2,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,4,1
26,22300064,1610612754,IND,Indiana,1629670,Jordan Nwora,Jordan,5.683333333,2,7,0.286,1,2,0.5,0,0,0,1,0,1,1,0,1,0,0,5,3
27,22300064,1610612754,IND,Indiana,1641716,Jarace Walker,Jarace,5.683333333,0,5,0,0,1,0,0,0,0,1,3,4,0,1,0,0,1,0,3
28,22300064,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,5.683333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,22300063,1610612737,ATL,Atlanta,1629631,De'Andre Hunter,De'Andre,31,4,9,0.444,1,4,0.25,0,1,0,2,2,4,1,0,0,0,6,9,-13
1,22300063,1610612737,ATL,Atlanta,1630180,Saddiq Bey,Saddiq,28.85,6,12,0.5,1,4,0.25,2,2,1,3,2,5,0,5,0,2,1,15,-2
2,22300063,1610612737,ATL,Atlanta,203991,Clint Capela,Clint,28.63333333,6,10,0.6,0,0,0,3,4,0.75,6,7,13,0,1,0,2,1,15,-19
3,22300063,1610612737,ATL,Atlanta,1627749,Dejounte Murray,Dejounte,32.73333333,3,14,0.214,0,3,0,5,6,0.833,0,2,2,6,0,0,1,0,11,-15
4,22300063,1610612737,ATL,Atlanta,1629027,Trae Young,Trae,36.01666667,4,19,0.211,1,9,0.111,14,15,0.933,0,1,1,9,1,0,5,3,23,-11
5,22300063,1610612737,ATL,Atlanta,203992,Bogdan Bogdanovic,Bogdan,24.43333333,3,9,0.333,1,5,0.2,0,0,0,0,4,4,4,3,0,0,1,7,6
6,22300063,1610612737,ATL,Atlanta,1630552,Jalen Johnson,Jalen,29.4,9,13,0.692,1,3,0.333,2,4,0.5,0,7,7,2,2,1,0,1,21,8
7,22300063,1610612737,ATL,Atlanta,1631100,AJ Griffin,AJ,9.6,1,2,0.5,0,1,0,0,0,0,0,2,2,0,0,0,1,1,2,2
8,22300063,1610612737,ATL,Atlanta,1630168,Onyeka Okongwu,Onyeka,19.33333333,3,5,0.6,0,0,0,1,1,1,1,3,4,2,0,0,1,5,7,14
